category_key,category_name
1,12-Volt Portable Appliances
2,1970-Now
3,Action Figures
4,Activewear Tops
5,Activity Trackers
6,Adapters
7,Adhesive Tapes
8,Adjustable Power Supplies
9,Air Fresheners
10,Air Tools
11,"Amphibian, Reptile"
12,Amplifier Kits
13,Area Rugs
14,Art Posters
15,Athletic Shoes
16,Audio Docks
17,Automotive
18,Baby
19,Bags
20,Batteries
21,Bells
22,Blankets
23,Body Moldings
24,Books
25,"Books, Movies"
26,Bowls
27,Brake Service Tools
28,Business
29,Cable Ties
30,Cables
31,Camcorders
32,Cameras
33,Campground
34,Candles
35,Car Audio In-Dash Units
36,Car Keys
37,Car Lighting
38,Car Seat Accessories
39,Car Speakers
40,Carpet
41,"Cases, Covers"
42,"Cases, Covers, Keyboard Folios"
43,Casual Shoes
44,Caution
45,Cell Phones
46,Chairs
47,Chargers
48,Chop Saws
49,Clothespins
50,Clothing
51,"Clothing, Shoes"
52,Coasters
53,"Coats, Jackets"
54,Code Readers
55,"Coffee, Tea"
56,Cold
57,Comfort Shoes
58,Computers/Tablets
59,Conduit
60,Connectors
61,Control Device Parts
62,Cooking Appliance Parts
63,Cordless Drills
64,Desks
65,Developmental Baby Toys
66,Digital Cameras
67,Digitizing Software
68,Dinner Service Sets
69,Dishwasher Parts
70,Dress Shirts
71,Dresses
72,Electrical Outlets
73,Electrical Plugs
74,Electrical Wire
75,Electronic Games
76,Electronic Keyboards
77,Electronics
78,Engine Mounts
79,Engines
80,Extension Cords
81,External Hard Disk Drives
82,Fire Extinguishers
83,Flare Nut Wrenches
84,Flashlights
85,"Floor Mats, Carpets"
86,Foot Creams
87,GPS
88,Generators
89,Golf GPS Devices
90,Hand Crimpers
91,Hand Grippers
92,Hand Tool Sets
93,Handles
94,Headphones
95,Headsets
96,Health
97,Home
98,Hoodies
99,Hookup
100,Hot
101,Impact Wrenches
102,Internet Businesses
103,Jeans
104,Jewelry
105,Jewelry Tools
106,Karaoke Systems
107,"Key Chains, Rings"
108,Keyboards
109,Kitchen
110,Laptop Cases
111,Laptop Cooling Pads
112,Laptop Power Adapters/Chargers
113,Laptop Replacement Keyboards
114,Learning Systems
115,Lighting Parts
116,Luggage
117,Massagers
118,Memory Cards
119,Men
120,Metal Detectors
121,"Mice, Trackballs"
122,Microphones
123,Mirrors
124,Monitor
125,Motor
126,Mounts
127,"Mounts, Stands"
128,Mouse Pads
129,Mugs
130,Multimeters
131,Multiple Conductor Cable
132,Musical Instruments
133,Ordinateurs
134,Other Baby Proofing
135,Other Bakeware
136,Other Cameras
137,Other Car Electronics Accs
138,"Other Clothing, Shoes"
139,Other Consumer Electronics
140,Other Cookware
141,Other Engine Parts
142,Other Fittings
143,Other Golf Accessories
144,Other Golf Tech
145,Other Home Cleaning Supplies
146,Other In-Car Entertainment
147,Other Islam Collectibles
148,Other Laptop
149,Other Outdoor Power Equipment Accessories
150,Other Outdoor Sports
151,Other RC Parts
152,Other Reading
153,Other Sporting Goods
154,Other Tools
155,Other Vehicles
156,Other Vintage Cameras
157,Outdoor Lighting Accessories
158,Oximeters
159,PC Desktops
160,PLC Processors
161,Parts
162,Pet Supplies
163,Pond Lighting
164,Pool Cleaner
165,Power
166,Power Inverters
167,Power Outlets
168,Pressure Washers
169,Pretend Play
170,Pruning Shears
171,Push-Pull Golf Cart Add-ons
172,Racquets
173,Radio Control
174,Recorders
175,Refrigerator
176,Replacement Remotes
177,Rings
178,Sandals
179,Satellite TV Receivers
180,Screen Protectors
181,Seat Belt Shoulder Pads
182,Seat Covers
183,Security
184,Server Memory (RAM)
185,Shower Curtains
186,Shower Shelves
187,Signal Processors
188,Single Use Batteries
189,Slippers
190,Smart Watches
191,"Solar Battery Chargers, Maintainers"
192,Solar Panels
193,Solar Power Accessories
194,Sound Level Meters
195,Speaker/Sub. Enclosures
196,Speaker/Sub. Grills
197,Spigots
198,Sporting Goods
199,"Stands, Holders"
200,Sticky Notes
201,"String Lights, Fairy Lights"
202,Styluses
203,Sweaters
204,"Switches, Connectors"
205,T-Shirts
206,"TV, Video"
207,Tablet
208,Tabletop Scales
209,Tablets
210,Textbooks
211,Thigh Exercisers
212,Timing Kits
213,Toggle Switches
214,Tool Boxes
215,Tops
216,Toys
217,Tracing Wheels
218,Tracking Devices
219,Trading Card Lots
220,Trading Card Singles
221,Trailer Hitches
222,Trash Cans
223,Typewriters
224,"USB Cables, Hubs"
225,USB Flash Drives
226,Vacuum Cleaner Parts
227,Vacuum Sealers
228,Video Game Consoles
229,Video Games
230,Video In-Dash Units w/GPS
231,Vintage Calculators
232,Vintage Cell Phones
233,Vintage Computers
234,Vintage Parts
235,Washer
236,Watches for Parts
237,Welding
238,Welding Cables
239,Wheels
240,Winches
241,Wire
242,Women's Bags
243,Wristwatches
