date_key,category_key,bucket_key,total_listings,total_revenue
2020-11-01,122,4,50.0,11753.0
2021-09-01,95,2,50.0,799.5
2022-01-01,110,4,50.0,6000.0
2022-04-01,45,4,50.0,10000.0
2022-08-01,145,1,29.0,173.71
2023-03-01,81,4,50.0,13750.0
2023-03-01,160,3,49.0,4802.0
2023-05-01,2,3,98.0,8036.0
2023-05-01,190,2,50.0,1400.0
2023-07-01,94,3,50.0,4500.0
2023-08-01,87,3,50.0,2950.0
2023-10-01,108,4,48.0,14352.0
2023-12-01,17,2,1896.0,69559.37
2023-12-01,17,4,6697.0,1228190.09
2023-12-01,17,3,4185.0,312387.77
2023-12-01,18,2,3699.0,127791.7
2023-12-01,18,4,4248.0,645502.59
2023-12-01,18,3,4920.0,356600.86
2023-12-01,25,2,3725.0,128426.62
2023-12-01,25,4,4157.0,631304.74
2023-12-01,25,3,4842.0,350296.96
2023-12-01,28,2,3797.0,130429.04
2023-12-01,28,4,4356.0,660776.2
2023-12-01,28,3,4927.0,357958.61
2023-12-01,32,4,5949.0,1900900.77
2023-12-01,32,6,2341.0,3074996.69
2023-12-01,32,3,123.0,9973.05
2023-12-01,32,5,4507.0,3168236.34
2023-12-01,45,2,99.0,4020.26
2023-12-01,45,4,9390.0,2451430.67
2023-12-01,45,3,904.0,71965.64
2023-12-01,45,5,2430.0,1651249.36
2023-12-01,51,2,5547.0,179680.76
2023-12-01,51,4,2599.0,346864.94
2023-12-01,51,3,4663.0,330879.52
2023-12-01,58,4,4265.0,1433052.23
2023-12-01,58,6,3791.0,5669703.3
2023-12-01,58,5,4882.0,3514842.34
2023-12-01,77,2,427.0,16669.95
2023-12-01,77,4,9588.0,2148351.45
2023-12-01,77,3,2234.0,171903.46
2023-12-01,77,5,877.0,439071.23
2023-12-01,96,2,3734.0,128003.37
2023-12-01,96,4,4307.0,655784.19
2023-12-01,96,3,4832.0,349433.24
2023-12-01,97,2,881.0,33694.59
2023-12-01,97,4,9053.0,1945806.53
2023-12-01,97,3,3060.0,232838.21
2023-12-01,104,2,3762.0,130291.12
2023-12-01,104,4,4263.0,644967.84
2023-12-01,104,3,4872.0,352893.83
2023-12-01,108,4,50.0,12500.0
2023-12-01,132,2,3810.0,130868.67
2023-12-01,132,4,4195.0,634052.06
2023-12-01,132,3,4887.0,355549.48
2023-12-01,162,2,3698.0,126063.47
2023-12-01,162,4,4181.0,638185.69
2023-12-01,162,3,4915.0,356789.34
2023-12-01,198,2,3758.0,128062.79
2023-12-01,198,4,4226.0,641334.77
2023-12-01,198,3,5011.0,364228.03
2023-12-01,206,2,3658.0,125954.72
2023-12-01,206,4,4237.0,644247.25
2023-12-01,206,3,4932.0,356704.16
2023-12-01,216,1,373.0,2986.23
2023-12-01,216,2,8210.0,239061.13
2023-12-01,216,4,1013.0,101991.02
2023-12-01,216,3,3344.0,227900.59
2023-12-01,229,2,3832.0,132473.52
2023-12-01,229,4,4404.0,669491.64
2023-12-01,229,3,4965.0,359034.3
2024-01-01,17,1,28.0,250.81
2024-01-01,17,2,7926.0,292086.0
2024-01-01,17,4,29703.0,5430911.16
2024-01-01,17,3,18401.0,1371744.07
2024-01-01,18,2,16317.0,558540.1
2024-01-01,18,4,18549.0,2818606.66
2024-01-01,18,3,21447.0,1557845.71
2024-01-01,25,2,16448.0,565052.34
2024-01-01,25,4,18124.0,2754075.76
2024-01-01,25,3,21325.0,1548770.07
2024-01-01,28,2,16222.0,557692.98
2024-01-01,28,4,18496.0,2804991.78
2024-01-01,28,3,21456.0,1556356.54
2024-01-01,32,4,25247.0,8055949.42
2024-01-01,32,6,10322.0,13599546.0
2024-01-01,32,3,472.0,38150.74
2024-01-01,32,5,19640.0,13879169.99
2024-01-01,45,2,468.0,18958.67
2024-01-01,45,4,41299.0,10818201.99
2024-01-01,45,3,3974.0,316205.27
2024-01-01,45,5,10678.0,7223041.34
2024-01-01,51,2,23999.0,775102.78
2024-01-01,51,4,11823.0,1570546.67
2024-01-01,51,3,20232.0,1437308.28
2024-01-01,58,4,17992.0,6074525.93
2024-01-01,58,6,16458.0,24623943.06
2024-01-01,58,5,21154.0,15234687.87
2024-01-01,77,2,1968.0,77464.11
2024-01-01,77,4,40535.0,9087420.53
2024-01-01,77,3,9728.0,753155.04
2024-01-01,77,5,3804.0,1904636.37
2024-01-01,96,2,16359.0,561465.01
2024-01-01,96,4,18339.0,2775294.24
2024-01-01,96,3,21176.0,1534919.82
2024-01-01,97,2,3831.0,146686.86
2024-01-01,97,4,38587.0,8315242.02
2024-01-01,97,3,13541.0,1028410.09
2024-01-01,104,2,16480.0,566217.37
2024-01-01,104,4,18640.0,2826299.06
2024-01-01,104,3,21265.0,1542112.42
2024-01-01,132,2,16384.0,564508.27
2024-01-01,132,4,18444.0,2799430.23
2024-01-01,132,3,21452.0,1556151.79
2024-01-01,159,4,49.0,11270.0
2024-01-01,162,2,16396.0,564412.74
2024-01-01,162,4,18634.0,2827133.37
2024-01-01,162,3,21123.0,1531024.61
2024-01-01,190,3,50.0,3500.0
2024-01-01,198,2,16177.0,554007.08
2024-01-01,198,4,18506.0,2811584.23
2024-01-01,198,3,21287.0,1541824.38
2024-01-01,206,2,16276.0,556743.64
2024-01-01,206,4,18643.0,2826897.93
2024-01-01,206,3,21298.0,1544596.29
2024-01-01,216,1,1669.0,13565.38
2024-01-01,216,2,35920.0,1042823.0
2024-01-01,216,4,4198.0,422668.03
2024-01-01,216,3,14466.0,993608.85
2024-01-01,229,2,16516.0,567453.63
2024-01-01,229,4,18317.0,2787468.97
2024-01-01,229,3,21523.0,1561269.5
2024-02-01,17,2,7204.0,263769.58
2024-02-01,17,4,27896.0,5092394.4
2024-02-01,17,3,17112.0,1274150.37
2024-02-01,18,2,15312.0,525844.43
2024-02-01,18,4,17247.0,2620231.87
2024-02-01,18,3,20075.0,1458378.27
2024-02-01,25,2,15217.0,523589.98
2024-02-01,25,4,17074.0,2587978.15
2024-02-01,25,3,19895.0,1442364.04
2024-02-01,28,2,15245.0,524408.26
2024-02-01,28,4,17096.0,2590021.74
2024-02-01,28,3,19935.0,1441474.04
2024-02-01,32,4,23831.0,7599831.03
2024-02-01,32,6,9695.0,12753667.86
2024-02-01,32,3,441.0,36395.69
2024-02-01,32,5,18724.0,13201248.26
2024-02-01,45,2,409.0,16913.15
2024-02-01,45,4,38928.0,10166494.03
2024-02-01,45,3,3485.0,278636.43
2024-02-01,45,5,10058.0,6804434.34
