date_key,category_key,bucket_key,total_listings,total_revenue
2023-12-01,17,2,8,291.95
2023-12-01,17,4,13,2403.92
2023-12-01,17,3,7,474.95
2023-12-01,18,2,9,306.92
2023-12-01,18,4,9,1241.94
2023-12-01,18,3,10,743.92
2023-12-01,25,2,14,437.91
2023-12-01,25,4,10,1620.94
2023-12-01,25,3,6,382.96
2023-12-01,28,2,5,155.98
2023-12-01,28,4,9,1474.95
2023-12-01,28,3,7,514.94
2023-12-01,32,4,16,3937.88
2023-12-01,32,6,6,7525.95
2023-12-01,32,5,9,6389.93
2023-12-01,45,2,1,49.99
2023-12-01,45,4,22,5619.86
2023-12-01,45,3,1,72.0
2023-12-01,45,5,11,7407.97
2023-12-01,51,2,12,377.91
2023-12-01,51,4,3,420.98
2023-12-01,51,3,11,864.94
2023-12-01,58,4,9,3195.95
2023-12-01,58,6,9,14728.91
2023-12-01,58,5,10,7016.93
2023-12-01,77,2,3,121.99
2023-12-01,77,4,20,4446.87
2023-12-01,77,3,6,500.98
2023-12-01,77,5,1,500.99
2023-12-01,96,2,8,268.93
2023-12-01,96,4,10,1396.93
2023-12-01,96,3,9,604.92
2023-12-01,97,2,3,115.97
2023-12-01,97,4,23,5289.84
2023-12-01,97,3,9,669.93
2023-12-01,104,2,9,384.93
2023-12-01,104,4,10,1643.94
2023-12-01,104,3,16,1118.88
2023-12-01,132,2,13,399.93
2023-12-01,132,4,15,2433.89
2023-12-01,132,3,14,986.92
2023-12-01,162,2,3,107.99
2023-12-01,162,4,9,1310.97
2023-12-01,162,3,10,776.93
2023-12-01,198,2,11,378.9
2023-12-01,198,4,9,1560.93
2023-12-01,198,3,7,526.94
2023-12-01,206,2,7,203.95
2023-12-01,206,4,6,939.95
2023-12-01,206,3,8,578.92
2023-12-01,216,1,1,8.99
2023-12-01,216,2,19,498.83
2023-12-01,216,4,4,401.98
2023-12-01,216,3,12,806.91
2023-12-01,229,2,5,142.97
2023-12-01,229,4,8,1255.94
2023-12-01,229,3,11,799.9
2024-01-01,17,2,14,468.88
2024-01-01,17,4,63,12258.54
2024-01-01,17,3,33,2278.76
2024-01-01,18,2,34,1102.76
2024-01-01,18,4,50,7542.6
2024-01-01,18,3,42,3044.71
2024-01-01,25,2,32,1070.74
2024-01-01,25,4,39,5953.75
2024-01-01,25,3,54,3892.62
2024-01-01,28,2,24,873.83
2024-01-01,28,4,36,5365.76
2024-01-01,28,3,44,3122.7
2024-01-01,32,4,56,18567.59
2024-01-01,32,6,25,33927.83
2024-01-01,32,5,44,32036.72
2024-01-01,45,2,2,94.98
2024-01-01,45,4,80,21894.53
2024-01-01,45,3,14,1124.9
2024-01-01,45,5,26,16753.79
2024-01-01,51,2,47,1478.67
2024-01-01,51,4,18,2315.92
2024-01-01,51,3,47,3373.7
2024-01-01,58,4,32,10614.75
2024-01-01,58,6,29,43177.79
2024-01-01,58,5,61,42994.57
2024-01-01,77,2,3,122.97
2024-01-01,77,4,77,17572.46
2024-01-01,77,3,21,1677.88
2024-01-01,77,5,10,5005.94
2024-01-01,96,2,43,1527.7
2024-01-01,96,4,54,8212.62
2024-01-01,96,3,55,3976.63
2024-01-01,97,2,11,385.95
2024-01-01,97,4,77,15519.47
2024-01-01,97,3,30,2322.79
2024-01-01,104,2,39,1275.75
2024-01-01,104,4,36,5771.77
2024-01-01,104,3,52,3789.63
2024-01-01,132,2,26,906.82
2024-01-01,132,4,33,5306.78
2024-01-01,132,3,57,4135.65
2024-01-01,162,2,44,1607.72
2024-01-01,162,4,33,5024.75
2024-01-01,162,3,49,3648.68
2024-01-01,198,2,29,1010.79
2024-01-01,198,4,42,6332.74
2024-01-01,198,3,48,3360.65
2024-01-01,206,2,29,1054.8
2024-01-01,206,4,45,6751.67
2024-01-01,206,3,47,3487.68
2024-01-01,216,1,1,9.99
2024-01-01,216,2,76,2132.5
2024-01-01,216,4,4,402.97
2024-01-01,216,3,36,2401.73
2024-01-01,229,2,42,1464.73
2024-01-01,229,4,35,5463.77
2024-01-01,229,3,45,3240.72
2024-02-01,17,2,10,318.93
2024-02-01,17,4,69,12221.46
2024-02-01,17,3,37,2625.79
2024-02-01,18,2,36,1189.71
2024-02-01,18,4,46,7026.68
2024-02-01,18,3,40,2774.73
2024-02-01,25,2,40,1370.72
2024-02-01,25,4,34,4987.79
2024-02-01,25,3,48,3483.63
2024-02-01,28,2,25,897.81
2024-02-01,28,4,55,8820.59
2024-02-01,28,3,44,3113.69
2024-02-01,32,4,54,17017.6
2024-02-01,32,6,24,32297.83
2024-02-01,32,3,2,132.99
2024-02-01,32,5,35,25558.72
2024-02-01,45,4,83,22978.44
2024-02-01,45,3,11,814.92
2024-02-01,45,5,20,13510.88
2024-02-01,51,2,46,1378.63
2024-02-01,51,4,20,2693.86
2024-02-01,51,3,44,3278.68
2024-02-01,58,4,39,12117.65
2024-02-01,58,6,53,79070.59
2024-02-01,58,3,1,66.0
2024-02-01,58,5,43,29120.72
2024-02-01,77,2,3,111.98
2024-02-01,77,4,86,20312.49
2024-02-01,77,3,25,1970.86
2024-02-01,77,5,13,6507.92
2024-02-01,96,2,24,737.82
2024-02-01,96,4,31,4804.76
2024-02-01,96,3,42,3061.69
2024-02-01,97,2,5,190.98
2024-02-01,97,4,73,15555.48
2024-02-01,97,3,30,2291.85
2024-02-01,104,2,32,1223.81
2024-02-01,104,4,31,4434.77
2024-02-01,104,3,38,2828.69
2024-02-01,132,2,35,1243.76
2024-02-01,132,4,37,5515.69
2024-02-01,132,3,47,3432.72
2024-02-01,162,2,33,1141.75
2024-02-01,162,4,38,5651.69
2024-02-01,162,3,56,4015.61
2024-02-01,198,2,33,1018.78
2024-02-01,198,4,31,4640.81
2024-02-01,198,3,51,3753.63
2024-02-01,206,2,41,1372.69
2024-02-01,206,4,30,4789.8
2024-02-01,206,3,42,3071.73
2024-02-01,216,1,2,15.0
2024-02-01,216,2,79,2348.37
2024-02-01,216,4,5,503.96
2024-02-01,216,3,23,1511.8
2024-02-01,229,2,30,1103.8
2024-02-01,229,4,34,5146.81
2024-02-01,229,3,55,4014.61
2024-03-01,17,2,10,379.96
2024-03-01,17,4,76,13727.46
2024-03-01,17,3,40,2926.68
2024-03-01,18,2,36,1117.76
2024-03-01,18,4,43,6295.69
2024-03-01,18,3,47,3463.62
2024-03-01,25,2,31,1139.76
2024-03-01,25,4,38,5829.71
2024-03-01,25,3,31,2434.82
2024-03-01,28,2,29,935.79
2024-03-01,28,4,33,5400.77
2024-03-01,28,3,41,3070.67
2024-03-01,32,4,59,18623.61
2024-03-01,32,6,26,32894.82
2024-03-01,32,5,40,28515.77
2024-03-01,45,2,2,84.99
2024-03-01,45,4,97,24328.31
2024-03-01,45,3,8,679.96
2024-03-01,45,5,29,21133.78
2024-03-01,51,2,60,1707.58
2024-03-01,51,4,30,4007.77
2024-03-01,51,3,42,3061.69
2024-03-01,58,4,50,16705.64
2024-03-01,58,6,38,58025.76
2024-03-01,58,5,41,27883.74
2024-03-01,77,2,4,156.98
2024-03-01,77,4,86,18204.4
2024-03-01,77,3,13,1094.92
2024-03-01,77,5,8,4005.94
2024-03-01,96,2,31,943.73
2024-03-01,96,4,41,6268.69
2024-03-01,96,3,54,3828.66
2024-03-01,97,2,4,137.96
2024-03-01,97,4,91,19228.35
2024-03-01,97,3,24,1774.83
2024-03-01,104,2,31,1079.8
2024-03-01,104,4,39,6222.73
2024-03-01,104,3,52,3729.64
2024-03-01,132,2,29,909.75
2024-03-01,132,4,46,6535.67
2024-03-01,132,3,46,3174.67
2024-03-01,162,2,35,1195.71
2024-03-01,162,4,47,7175.63
2024-03-01,162,3,48,3575.65
2024-03-01,198,2,28,886.79
2024-03-01,198,4,40,6120.77
2024-03-01,198,3,36,2811.73
2024-03-01,206,2,37,1271.72
2024-03-01,206,4,36,5570.71
2024-03-01,206,3,46,3269.7
2024-03-01,216,1,2,18.99
2024-03-01,216,2,87,2315.4
2024-03-01,216,4,9,904.95
2024-03-01,216,3,35,2330.77
2024-03-01,229,2,33,1111.77
2024-03-01,229,4,43,6513.74
2024-03-01,229,3,40,2842.76
2024-04-01,17,2,17,629.87
2024-04-01,17,4,59,10862.59
2024-04-01,17,3,28,2016.83
2024-04-01,18,2,38,1182.71
2024-04-01,18,4,38,5660.78
2024-04-01,18,3,48,3584.63
2024-04-01,25,2,33,1193.79
2024-04-01,25,4,37,5491.75
2024-04-01,25,3,36,2665.71
2024-04-01,28,2,35,1203.76
2024-04-01,28,4,36,5674.8
2024-04-01,28,3,32,2249.75
2024-04-01,32,4,60,20488.58
2024-04-01,32,6,14,19123.9
2024-04-01,32,3,2,178.98
2024-04-01,32,5,24,17245.79
2024-04-01,45,2,2,76.98
2024-04-01,45,4,85,22494.41
2024-04-01,45,3,10,752.92
2024-04-01,45,5,23,14991.81
2024-04-01,51,2,46,1430.68
2024-04-01,51,4,21,2806.85
2024-04-01,51,3,31,2118.79
2024-04-01,58,4,33,11314.77
