run_date,collected_at,listing_date,seller,title,category,price,currency,market,listing_year,listing_month,listing_day,price_bucket,category_normalized,category_main
2025-12-23,2025-12-23 20:36:40.796189,2025-10-24 19:28:18.709925,seller_ma_079,Phone Charger Fast Charging Sony,"TV, Video & Home Audio",45.0,USD,MOROCCO,2025,10,24,10-50,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:40.855072,2025-10-04 04:35:09.709925,seller_ma_082,Scarf Cashmere Brown,"Clothing, Shoes & Accessories",28.0,USD,MOROCCO,2025,10,4,10-50,"CLOTHING, SHOES & ACCESSORIES","Clothing, Shoes"
2025-12-23,2025-12-23 20:36:41.251365,2024-10-21 08:50:19.709925,seller_ma_120,USB Cable Type-C 5m,Video Games & Consoles,22.99,USD,MOROCCO,2024,10,21,10-50,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:41.529694,2025-10-07 20:20:49.709925,seller_ma_072,Women's Dress Winter Size 44,"Clothing, Shoes & Accessories",20.99,USD,MOROCCO,2025,10,7,10-50,"CLOTHING, SHOES & ACCESSORIES","Clothing, Shoes"
2025-12-23,2025-12-23 20:36:41.689979,2024-10-31 01:57:20.709925,seller_ma_101,Wireless Headphones Belkin,Health & Beauty,47.99,USD,MOROCCO,2024,10,31,10-50,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:41.772635,2025-10-01 16:45:23.709925,seller_ma_025,Phone Charger Fast Charging Anker,Jewelry & Watches,25.99,USD,MOROCCO,2025,10,1,10-50,JEWELRY & WATCHES,Jewelry
2025-12-23,2025-12-23 20:36:41.876784,2025-10-21 02:34:25.709925,seller_ma_112,Phone Charger Fast Charging Samsung,"TV, Video & Home Audio",38.99,USD,MOROCCO,2025,10,21,10-50,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:42.116996,2025-10-23 16:02:27.709925,seller_ma_114,Phone Charger Fast Charging Belkin,"Books, Movies & Music",40.99,USD,MOROCCO,2025,10,23,10-50,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:42.195992,2024-10-13 16:14:09.709925,seller_ma_081,Phone Charger Fast Charging Samsung,Pet Supplies,31.0,USD,MOROCCO,2024,10,13,10-50,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:42.230311,2025-10-21 17:36:32.709925,seller_ma_137,Bluetooth Speaker Sony,Pet Supplies,30.99,USD,MOROCCO,2025,10,21,10-50,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:42.478536,2025-10-26 12:45:18.709925,seller_ma_105,Gaming Mouse RGB Philips,Musical Instruments & Gear,47.99,USD,MOROCCO,2025,10,26,10-50,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:42.749605,2024-10-27 04:41:14.709925,seller_ma_198,Engine Oil Filter Castrol,Automotive,32.99,USD,MOROCCO,2024,10,27,10-50,AUTOMOTIVE,Automotive
2025-12-23,2025-12-23 20:36:42.955589,2024-10-28 18:12:41.709925,seller_ma_050,Men's T-Shirt Philips Size 42,"Clothing, Shoes & Accessories",48.99,USD,MOROCCO,2024,10,28,10-50,"CLOTHING, SHOES & ACCESSORIES","Clothing, Shoes"
2025-12-23,2025-12-23 20:36:43.848684,2025-10-14 13:31:16.709925,seller_ma_024,Gaming Mouse RGB LG,Video Games & Consoles,46.0,USD,MOROCCO,2025,10,14,10-50,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:44.320192,2025-10-21 23:44:35.709925,seller_ma_193,HDMI Cable 10m Gold Plated,Toys & Hobbies,17.99,USD,MOROCCO,2025,10,21,10-50,TOYS & HOBBIES,Toys
2025-12-23,2025-12-23 20:36:44.426336,2025-10-20 23:15:01.709925,seller_ma_192,HDMI Cable 3m Gold Plated,Jewelry & Watches,40.99,USD,MOROCCO,2025,10,20,10-50,JEWELRY & WATCHES,Jewelry
2025-12-23,2025-12-23 20:36:44.879477,2025-10-06 11:33:37.709925,seller_ma_004,Laptop Stand Aluminum,"Books, Movies & Music",42.99,USD,MOROCCO,2025,10,6,10-50,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:45.224484,2025-10-20 01:34:05.709925,seller_ma_068,HDMI Cable 5m Gold Plated,Sporting Goods,33.99,USD,MOROCCO,2025,10,20,10-50,SPORTING GOODS,Sporting Goods
2025-12-23,2025-12-23 20:36:45.240556,2025-10-14 15:19:12.709925,seller_ma_193,Wireless Headphones Anker,Health & Beauty,24.99,USD,MOROCCO,2025,10,14,10-50,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:45.737803,2025-10-09 23:44:07.709925,seller_ma_170,Phone Charger Fast Charging Samsung,"TV, Video & Home Audio",42.0,USD,MOROCCO,2025,10,9,10-50,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:18.405391,2025-10-11 22:26:12.709925,seller_ma_059,Gaming Mouse RGB LG,Cameras & Photo,397.99,USD,MOROCCO,2025,10,11,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:18.487361,2024-10-22 15:35:52.709925,seller_ma_051,Bluetooth Speaker Philips,"TV, Video & Home Audio",128.99,USD,MOROCCO,2024,10,22,100-500,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:18.573124,2025-10-08 12:07:07.709925,seller_ma_106,Power Bank 10000mAh,Musical Instruments & Gear,168.0,USD,MOROCCO,2025,10,8,100-500,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:18.677677,2024-10-29 12:01:46.709925,seller_ma_026,Bluetooth Speaker Belkin,"TV, Video & Home Audio",104.99,USD,MOROCCO,2024,10,29,100-500,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:18.745018,2025-10-14 19:11:21.709925,seller_ma_080,Engine Oil Filter 3M,Automotive,119.99,USD,MOROCCO,2025,10,14,100-500,AUTOMOTIVE,Automotive
2025-12-23,2025-12-23 20:36:19.171043,2024-10-01 21:32:41.709925,seller_ma_018,Webcam HD 1440p Samsung,Electronics,106.99,USD,MOROCCO,2024,10,1,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:19.918842,2025-10-03 12:21:31.709925,seller_ma_149,HDMI Cable 2m Gold Plated,Baby,151.99,USD,MOROCCO,2025,10,3,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:19.931843,2025-10-04 18:56:35.709925,seller_ma_036,USB Cable Type-C 5m,Cameras & Photo,366.99,USD,MOROCCO,2025,10,4,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:20.107909,2024-10-16 03:34:59.709925,fes_market,Wireless Headphones JBL,Electronics,266.99,USD,MOROCCO,2024,10,16,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:20.191920,2024-10-07 11:59:07.709925,seller_ma_044,iPhone S22 128GB Refurbished,Cell Phones & Accessories,413.0,USD,MOROCCO,2024,10,7,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:20.435371,2024-10-01 14:39:48.709925,seller_ma_062,Jump Starter Portable,Automotive,169.99,USD,MOROCCO,2024,10,1,100-500,AUTOMOTIVE,Automotive
2025-12-23,2025-12-23 20:36:20.613934,2025-10-17 18:32:29.709925,seller_ma_138,Wireless Headphones LG,"Books, Movies & Music",200.99,USD,MOROCCO,2025,10,17,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:20.790380,2025-10-26 16:58:18.709925,seller_ma_102,Laptop Stand Aluminum,Toys & Hobbies,100.0,USD,MOROCCO,2025,10,26,100-500,TOYS & HOBBIES,Toys
2025-12-23,2025-12-23 20:36:20.846465,2024-10-28 21:14:15.709925,seller_ma_179,"""Windshield Wipers XXL"""" Set""",Automotive,119.0,USD,MOROCCO,2024,10,28,100-500,AUTOMOTIVE,Automotive
2025-12-23,2025-12-23 20:36:20.905315,2025-10-23 18:47:33.709925,seller_ma_072,HDMI Cable 3m Gold Plated,Cameras & Photo,208.99,USD,MOROCCO,2025,10,23,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:21.136238,2025-10-31 22:13:51.709925,seller_ma_160,Gaming Mouse RGB JBL,Video Games & Consoles,133.99,USD,MOROCCO,2025,10,31,100-500,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:21.154140,2025-10-08 18:41:51.709925,seller_ma_093,Wireless Headphones Samsung,Baby,104.0,USD,MOROCCO,2025,10,8,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:21.160166,2024-10-12 02:28:33.709925,seller_ma_073,Phone Charger Fast Charging Samsung,Musical Instruments & Gear,106.99,USD,MOROCCO,2024,10,12,100-500,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:21.473473,2025-10-14 07:15:18.709925,seller_ma_081,Wireless Charger Qi 15W,Cell Phones & Accessories,285.99,USD,MOROCCO,2025,10,14,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:21.491473,2025-10-14 03:35:30.709925,seller_ma_087,USB Cable Type-C 5m,"Books, Movies & Music",161.0,USD,MOROCCO,2025,10,14,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:21.493477,2024-10-22 11:46:07.709925,seller_ma_063,Wireless Headphones Anker,"Books, Movies & Music",170.99,USD,MOROCCO,2024,10,22,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:21.922105,2025-10-06 01:59:48.709925,seller_ma_027,Screen Protector Tempered Glass,Cell Phones & Accessories,305.99,USD,MOROCCO,2025,10,6,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:22.990391,2024-10-10 13:44:02.709925,seller_ma_144,Selfie Stick with Tripod,Cell Phones & Accessories,426.99,USD,MOROCCO,2024,10,10,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:23.037091,2024-10-23 16:54:19.709925,seller_ma_154,Webcam HD 1080p Anker,Baby,200.0,USD,MOROCCO,2024,10,23,100-500,BABY,Baby
